Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
42_03,0,0,0,0,-0.9,0.14,0.27,0.49,0.37,-2.26,-0.18,0.03,-0.65,-0.28,-0.33,0.95
42_04,0,1,0,0,-0.92,-0.49,0.19,0.49,0.15,-1.35,0.1,0.12,-0.14,-0.34,-0.17,0.97
42_05,0,0,0,0,-0.81,0.87,-0.46,0.23,0.73,-2.17,-0.83,0.21,-1.41,-0.4,-0.01,0.99
42_06,0,0,NA,NA,-0.77,1.61,-0.79,0.11,0.94,-2.35,-1.16,0.21,-1.92,-0.46,0.11,1.02
43_01,0,0,0,0,-1.12,-1.78,1.25,0.62,-0.13,0.1,0.76,-0.69,1.64,0.32,-0.52,0.71
43_02,0,0,0,0,-1.07,-0.82,0.52,0.23,0.15,-0.45,0.2,-0.6,0.37,0.29,-0.36,0.74
43_03,0,0,0,0,-0.79,-0.23,0.6,0.23,0.23,-0.45,0.01,-0.6,0.37,0.29,-0.2,0.75
43_04,0,0,0,0,-0.2,0.43,0.44,0.23,0.8,0.01,-0.92,-0.69,0.12,0.32,-0.04,0.74
43_05,1,0,0,0,0.82,0.73,-0.3,-0.15,0.87,-0.18,-1.06,-0.69,-0.65,0.32,0.11,0.72
43_06,0,0,0,0,1.63,0.47,0.03,-0.02,0.73,-0.09,-0.88,-0.51,-0.39,0.3,0.28,0.68
43_07,0,0,0,0,0.8,-0.49,0.11,0.11,0.44,0.28,-0.41,-0.42,0.12,0.28,0.43,0.65
43_08,0,0,0,0,-0.31,-0.45,0.27,0.23,0.58,0.55,-0.69,-0.42,0.12,0.25,0.58,0.61
43_09,0,0,0,0,-1.08,-0.23,0.44,0.23,0.37,0.1,-0.32,-0.24,0.37,0.2,0.74,0.59
43_10,0,0,0,0,-1.04,-1.04,0.6,0.36,0.15,0.1,0.1,-0.06,0.63,0.21,0.88,0.54
59_01,0,0,0,0,-0.93,0.47,0.76,0.49,0.65,-0.63,-0.64,-0.69,0.12,0.11,-0.9,0.85
59_02,0,0,0,0,-1.1,0.65,0.85,0.62,0.8,-0.72,-0.78,-0.6,0.12,0.05,-0.78,0.88
59_03,0,0,0,0,-1.09,0.1,0.68,0.62,0.58,-0.54,-0.55,-0.51,0.12,0,-0.66,0.91
59_04,0,0,0,0,-0.49,-0.31,0.52,0.62,0.44,-0.09,-0.36,-0.42,0.37,-0.08,-0.53,0.94
59_05,0,0,0,0,0.77,0.69,0.03,0.36,0.87,-0.72,-1.02,-0.42,-0.65,-0.16,-0.42,0.97
59_06,0,0,0,0,0.85,1.02,0.03,0.36,0.94,-0.54,-1.06,-0.33,-0.65,-0.24,-0.29,0.99
59_07,0,0,0,0,0.62,1.54,-0.3,0.23,1.15,-0.54,-1.34,-0.24,-0.9,-0.31,-0.19,1.01
59_08,0,0,0,0,0.94,1.28,-0.54,0.23,1.01,-0.72,-1.2,-0.06,-1.16,-0.37,-0.1,1.03
59_09,0,0,0,1,1.32,0.87,-0.22,0.36,0.87,-0.72,-1.02,0.12,-0.65,-0.45,0.05,1.06
74_01,0,0,0,0,0.2,0.69,-1.6,0.23,0.37,-1.63,-1.06,1.29,-2.43,-1.74,-1.5,1.35
74_03,0,0,0,NA,-1.01,-1.04,-1.6,-0.4,-0.63,-1.26,-0.22,1.73,-2.18,-1.76,-1.39,1.36
74_04,0,0,0,0,0.65,0.62,-0.13,1.76,0.8,-1.17,-0.88,0.93,-0.39,-1.65,-1.32,1.33
74_05,0,0,0,0,0.67,0.99,-0.05,1.63,0.73,-0.81,-0.83,0.93,-0.14,-1.56,-1.15,1.31
74_06,0,0,0,0,0.73,1.43,-0.3,1.38,0.87,-1.08,-1.06,0.93,-0.65,-1.49,-0.99,1.29
74_07,0,0,0,0,0.49,1.8,-0.71,1,1.08,-1.99,-1.25,0.84,-1.41,-1.42,-0.83,1.27
74_08,0,1,0,0,-0.13,1.72,-0.54,0.87,1.08,-1.54,-1.25,0.84,-1.16,-1.35,-0.66,1.25
74_09,0,0,NA,NA,-0.82,1.43,0.19,1.25,0.87,-1.63,-1.02,1.02,-0.65,-1.3,-0.54,1.24
