Detection Matrix,SO1,SO2,SO3,SO4,SO5,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,"Substrate
Det Cov",SO1,SO2,SO3,SO4,SO5,,"Effort
Det Cov",SO1,SO2,SO3,SO4,SO5,,,,
128,0,0,1,1,.,,128,22.20,39.09,14.10,0.17,15.79,0.71,0.75,,128,2.375,2.625,2.5,2.625,.,,128,8,8,8,8,.,,,128,1
129,0,0,0,.,.,,129,35.22,46.24,25.68,0.72,12.43,0.54,0.79,,129,2.875,3,3,.,.,,129,8,8,8,.,.,,,129,1
130,0,0,.,.,.,,130,49.35,54.44,39.24,0.97,20.25,0.53,0.85,,130,1.5,1.833333333,.,.,.,,130,8,6,.,.,.,,,130,1
131,0,0,0,0,0,,131,63.81,50.62,53.58,1.00,21.29,0.49,0.87,,131,1.25,1.375,1.125,1.125,1.25,,131,8,8,8,8,4,,,131,1
132,0,0,0,0,0,,132,78.40,47.27,68.20,1.00,17.58,0.32,0.88,,132,1,1.25,1.625,1.25,2,,132,8,8,8,8,8,,,132,1
134,0,0,0,.,.,,134,86.05,38.82,82.80,1.00,21.67,0.31,0.90,,134,2.75,2.5,3,.,.,,134,8,8,2,.,.,,,134,1
135,0,0,0,.,.,,135,72.90,29.28,69.27,1.00,11.47,0.31,0.85,,135,2.125,2.625,2.6,.,.,,135,8,8,5,.,.,,,135,1
136,0,0,0,0,.,,136,60.50,25.64,56.34,1.00,2.32,0.29,0.78,,136,1.125,1.25,1.125,1.375,.,,136,8,8,8,8,.,,,136,1
140,0,0,0,0,0,,140,18.60,21.65,13.29,0.96,8.34,0.15,0.75,,140,2,2,1.375,2.125,2,,140,8,8,8,8,1,,,140,1
141,0,0,0,0,0,,141,8.37,28.55,4.98,0.37,27.12,0.09,0.73,,141,2,2.125,2.375,1.5,1.75,,141,8,8,8,8,4,,,141,0.826562222
147,0,1,0,0,1,,147,38.56,56.54,34.19,0.00,11.52,0.85,0.71,,147,2.5,2.25,2.25,2.25,4.375,,147,8,8,8,8,8,,,142,0.272390222
148,0,0,0,.,.,,148,52.79,50.14,45.14,0.06,17.22,0.77,0.75,,148,2.25,2.75,1.5,.,.,,148,8,8,2,.,.,,,143,0
149,1,1,1,.,.,,149,67.21,41.32,56.06,0.83,21.69,0.62,0.83,,149,2.125,2.875,3.142857143,.,.,,149,8,8,7,.,.,,,147,1
150,0,0,0,0,0,,150,81.76,36.73,67.64,1.00,18.92,0.39,0.88,,150,1.5,2.375,2.25,2.25,1.375,,150,8,8,8,8,8,,,148,1
153,0,0,0,.,.,,153,69.93,41.76,65.60,1.00,10.03,0.23,0.85,,153,2.625,2.375,3,.,.,,153,8,8,1,.,.,,,149,1
154,0,0,0,0,0,,154,58.01,35.73,52.61,1.00,8.42,0.21,0.82,,154,1.125,1.625,1.25,1.25,1.75,,154,8,8,8,8,4,,,150,1
155,0,0,0,0,.,,155,47.30,31.87,40.31,1.00,4.83,0.06,0.74,,155,2,1.25,1.25,1.333333333,.,,155,8,8,8,3,.,,,153,1
156,0,0,0,0,.,,156,38.92,26.29,30.44,1.00,1.76,0.08,0.73,,156,1.875,2.125,2.625,3,.,,156,8,8,8,8,.,,,154,1
157,0,0,0,0,0,,157,29.85,13.15,21.01,1.00,6.80,0.03,0.74,,157,1.375,1.5,1.75,1.5,2,,157,8,8,8,8,4,,,155,1
158,1,0,1,0,0,,158,16.19,8.52,7.28,0.72,31.94,0.02,0.80,,158,2,1.375,1,1.25,1,,158,8,8,8,8,8,,,156,1
159,1,0,1,0,1,,159,3.07,20.41,3.67,0.03,13.31,0.02,0.35,,159,1.25,1.375,1.625,1.375,1,,159,8,8,8,8,8,,,157,1
163,1,0,1,.,.,,163,7.47,66.85,10.29,0.00,12.76,0.86,0.70,,163,3,2.75,2.333333333,.,.,,163,8,8,3,.,.,,,158,0.991457778
164,1,0,0,1,.,,164,22.05,64.96,24.15,0.00,14.77,0.93,0.71,,164,4,5,3.375,2.75,.,,164,8,8,8,8,.,,,159,0.069021778
165,0,1,0,1,0,,165,36.97,53.98,31.67,0.00,13.28,0.90,0.71,,165,3,3.125,3,3.25,3.25,,165,8,8,8,8,4,,,160,0
166,0,0,0,0,1,,166,51.78,40.68,37.26,0.09,17.20,0.67,0.76,,166,3,3,3,3.125,4,,166,8,8,8,8,1,,,163,1
167,1,0,.,.,.,,167,65.86,29.09,46.93,0.96,20.05,0.59,0.84,,167,3.125,3.142857143,.,.,.,,167,8,7,.,.,.,,,164,1
171,0,0,.,.,.,,171,62.69,38.14,56.63,1.00,9.53,0.44,0.80,,171,2.75,3,.,.,.,,171,8,7,.,.,.,,,165,1
173,0,0,0,0,0,,173,36.83,18.02,32.49,1.00,30.46,0.02,0.81,,173,3.375,3.625,1.5,1.625,1.714285714,,173,8,8,8,8,7,,,166,1
174,0,0,0,0,.,,174,26.15,17.29,19.51,1.00,38.98,0.02,0.81,,174,2,2.25,1.125,1,.,,174,8,8,8,8,.,,,167,1
175,0,0,0,0,0,,175,20.20,11.52,10.44,0.37,35.46,0.03,0.79,,175,1,1,1,1.375,4.25,,175,8,8,8,8,4,,,171,1
176,1,0,1,0,0,,176,11.31,10.83,3.84,0.00,11.21,0.07,0.63,,176,1,1.75,1,1,1,,176,8,8,8,8,4,,,173,1
177,1,0,1,1,.,,177,2.78,21.61,4.42,0.00,15.45,0.02,0.35,,177,2.75,2.875,2.5,2.5,.,,177,8,8,8,2,.,,,174,1
184,0,0,.,.,.,,184,46.36,35.28,25.93,0.62,15.10,0.85,0.75,,184,3.125,3.5,.,.,.,,184,8,4,.,.,.,,,175,0.999999556
185,0,0,0,0,.,,185,59.31,20.88,38.55,1.00,12.04,0.73,0.76,,185,3,3,2.875,2.75,.,,185,8,8,8,4,.,,,176,0.747941333
186,0,0,0,0,.,,186,72.35,8.93,52.44,1.00,18.12,0.52,0.84,,186,2.625,2.75,2.625,2.75,.,,186,8,8,8,8,.,,,177,0.139222222
189,0,0,0,0,0,,189,53.65,25.42,46.80,1.00,19.14,0.39,0.88,,189,1,1.25,1,1.625,2,,189,8,8,8,8,2,,,178,0
190,0,0,0,0,.,,190,42.68,21.62,35.57,1.00,19.02,0.08,0.80,,190,1.5,1.625,1.5,1.625,.,,190,8,8,8,8,.,,,184,1
191,0,0,0,0,.,,191,29.20,8.34,24.07,1.00,33.12,0.05,0.81,,191,2,2,2,2,.,,191,8,8,8,8,.,,,185,1
192,0,0,0,0,1,,192,15.71,8.54,12.67,0.78,20.79,0.13,0.78,,192,2.125,2.375,2.75,2,2.25,,192,8,8,8,8,8,,,186,1
193,1,0,1,0,0,,193,6.36,5.83,3.31,0.08,11.85,0.21,0.57,,193,1,2.25,2,2.5,2.25,,193,8,8,8,8,4,,,189,1
204,0,0,0,0,.,,204,66.35,10.85,49.62,1.00,14.96,0.82,0.77,,204,1.5,1.625,2.375,1.75,.,,204,8,8,8,8,.,,,190,1
205,0,0,0,0,.,,205,58.59,14.40,49.40,1.00,21.97,0.60,0.85,,205,1.75,1.875,2.125,1.75,.,,205,8,8,8,8,.,,,191,1
206,0,0,0,0,.,,206,48.00,17.10,39.83,1.00,28.58,0.56,0.88,,206,1.25,1.25,1.125,1.5,.,,206,8,8,8,4,.,,,192,1
207,0,0,0,0,.,,207,40.25,11.11,34.08,1.00,11.64,0.48,0.75,,207,1.625,1.5,2.125,3,.,,207,8,8,8,3,.,,,193,0.56194
208,0,0,0,0,0,,208,34.51,18.47,27.80,1.00,27.38,0.15,0.81,,208,1.125,1.125,1,1,1,,208,8,8,8,8,2,,,194,0.002584889
