Detection Matrix,SO1,SO2,SO3,SO4,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,Detection Covariate (Substrate),SO1,SO2,SO3,SO4
45_07ALT,0,0,0,0,,45_07ALT,35.4,47.7,32.2,0.273361836,0.34,0.41,0.61,,45_07ALT,1,1,1,1
45_08ALT,0,0,0,0,,45_08ALT,34.4,46.3,30.6,0,0.01,0.36,0.60,,45_08ALT,1,1,1,1
46_01,0,0,0,0,,46_01,30.7,42.9,26.3,0,0.00,0.67,0.58,,46_01,2,2,2,2
46_02,0,0,0,0,,46_02,29.8,42.8,25.4,0,0.11,0.29,0.60,,46_02,1,1,1,1
46_03,0,0,1,0,,46_03,28.6,42.3,24.1,0,0.54,0.56,0.57,,46_03,1,1,1,1
46_04,0,0,0,0,,46_04,26.9,41.0,22.3,0,1.69,0.53,0.58,,46_04,1,1,1,1
46_05,0,0,0,0,,46_05,25.0,39.3,20.4,0,1.29,0.71,0.58,,46_05,1,1,1,1
46_06,0,0,0,0,,46_06,23.1,37.9,18.5,0,1.46,0.61,0.59,,46_06,1,1,1,2
46_07,0,0,0,0,,46_07,21.3,36.5,16.6,0,2.98,0.77,0.56,,46_07,1,2,1,1
46_08,0,0,0,0,,46_08,19.4,35.4,14.7,0,5.18,0.65,0.57,,46_08,2,2,1,1
46_09,0,0,0,.,,46_09,17.9,34.2,13.2,0,5.24,0.42,0.60,,46_09,1,1,1,.
47_01,0,0,0,0,,47_01,4.6,23.5,0.7,0,4.91,0.73,0.51,,47_01,2,2,1,1
47_02,1,0,0,0,,47_02,6.3,25.2,2.4,0,38.81,0.45,0.66,,47_02,1,2,1,1
47_03,0,0,0,0,,47_03,7.9,26.2,4.0,0,67.61,0.46,0.70,,47_03,2,2,1,1
47_04,0,0,0,0,,47_04,9.6,27.1,5.7,0,42.35,0.22,0.68,,47_04,1,2,3,4
47_05,0,0,0,0,,47_05,11.3,28.7,7.2,0,3.86,0.48,0.60,,47_05,1,1,1,1
47_06,0,0,0,0,,47_06,12.9,30.5,8.2,0,0.08,0.59,0.58,,47_06,1,1,1,1
47_07,0,0,0,0,,47_07,14.6,32.0,9.8,0,0.25,0.59,0.58,,47_07,1,1,2,1
47_08,0,0,0,.,,47_08,16.2,32.8,11.5,0,3.19,0.46,0.59,,47_08,1,2,1,.
48_01,1,0,1,0,,48_01,1.3,32.6,0.6,0,68.91,0.27,0.75,,48_01,3,3,3,3
48_02,0,1,.,.,,48_02,1.3,31.6,0.4,0,84.26,0.22,0.78,,48_02,3,3,.,.
48_03,0,1,1,1,,48_03,1.3,29.5,0.2,0,72.04,0.23,0.64,,48_03,3,2,3,2
48_04,1,1,0,0,,48_04,1.9,29.1,0.3,0,71.56,0.27,0.70,,48_04,2,3,3,2
48_05,1,1,1,0,,48_05,3.0,28.5,0.2,0,72.88,0.21,0.40,,48_05,2,2,3,3
56_01,0,0,0,0,,56_01,12.5,24.8,4.7,1,27.28,0.91,0.58,,56_01,2,3,2,2
56_02,0,0,.,.,,56_02,11.9,26.3,5.7,1,22.28,0.77,0.60,,56_02,2,2,.,.
56_03,0,0,0,0,,56_03,12.2,24.2,3.6,1,25.66,0.86,0.60,,56_03,4,4,4,4
56_04,0,0,0,0,,56_04,10.7,24.8,2.8,1,14.92,0.85,0.61,,56_04,4,4,4,4
56_05,0,0,0,0,,56_05,9.4,26.4,3.1,1,10.99,0.93,0.62,,56_05,4,4,4,4
57_01,0,0,0,0,,57_01,11.9,27.8,7.1,1,25.83,0.70,0.62,,57_01,2,2,4,2
57_02,0,0,0,0,,57_02,12.1,29.5,8.3,1,23.49,0.87,0.59,,57_02,2,2,4,2
57_03,0,0,0,0,,57_03,13.0,30.9,9.8,1,16.01,0.65,0.61,,57_03,4,2,2,2
57_04,0,0,0,0,,57_04,14.4,31.6,11.7,1,17.70,0.46,0.63,,57_04,2,2,2,2
57_05,0,0,0,0,,57_05,15.8,31.9,13.4,1,20.68,0.82,0.59,,57_05,2,2,2,2
57_06,0,0,0,0,,57_06,16.8,31.6,14.9,1,14.69,0.77,0.60,,57_06,2,2,4,2
57_07,0,0,0,0,,57_07,17.8,31.2,16.4,1,16.13,0.85,0.60,,57_07,2,2,2,2
57_08,0,0,0,0,,57_08,18.5,30.5,17.4,1,24.50,0.91,0.58,,57_08,2,4,4,4
57_09,0,0,.,.,,57_09,19.5,30.5,18.5,1,21.15,0.89,0.57,,57_09,4,4,.,.
58_01,0,0,0,0,,58_01,20.5,22.7,19.3,1,15.13,0.78,0.63,,58_01,1,1,2,2
58_02,0,0,1,0,,58_02,22.1,24.4,21.2,1,20.50,0.78,0.65,,58_02,2,2,1,1
58_03,0,0,0,0,,58_03,23.4,26.2,22.8,1,24.14,0.70,0.62,,58_03,1,1,1,2
58_04,0,0,0,0,,58_04,24.2,28.1,23.6,1,14.10,0.61,0.62,,58_04,1,1,2,1
58_05,0,0,0,0,,58_05,25.1,29.9,24.3,1,11.55,0.77,0.60,,58_05,1,1,1,1
58_06,0,0,0,0,,58_06,25.5,31.7,24.7,1,13.88,0.82,0.58,,58_06,2,2,4,2
