HRS_ALL,,,,,,,,,,,,,HRS_PA,,,,,,,,,,,,,HRS_PAS,,,,,,,,,,,,,HRS_NAT,,,,,,,HRS_HUNT,,,,,,,,,,,,,TUS,,,,
Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,
Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,SO1,SO2,SO3,SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,SO1,SO2,SO3,SO4
125,2,3.7,5,NA,,125,10,10,4,NA,,,127,1.8,2.666666667,NA,NA,,127,10,6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,147,2.5,2.2,2.3,3.9,,147,10,10,10,10,,,21_07,3,3,2,2
127,1.8,2.7,NA,NA,,127,10,6,NA,NA,,,128,2.5,2.4,2.7,2.5,,128,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,148,2.6,2.125,NA,NA,,148,10,8,NA,NA,,,21_08,2,3,2,3
128,2.5,2.4,2.7,2.5,,128,10,10,10,2,,,129,2.9,3,3,NA,,129,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,149,2.2,3.1,3,NA,,149,10,10,3,NA,,,22_01,4,4,4,4
129,2.9,3,3,NA,,129,10,10,4,NA,,,130,1.6,1.75,NA,NA,,130,10,4,NA,NA,,,,,,,,,,,,,,,,,,,,,,,150,1.7,2.3,2.1,1.7,,150,10,10,10,10,,,22_02,3,3,4,4
130,1.6,1.8,NA,NA,,130,10,4,NA,NA,,,131,1.2,1.4,1,1.333333333,,131,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,163,3,2.555555556,NA,NA,,163,10,9,NA,NA,,,22_03,3,3,4,4
131,1.2,1.4,1,1.3,,131,10,10,10,6,,,132,1.1,1.3,1.5,1.8,,132,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,164,4.2,4.6,2.7,3,,164,10,10,10,2,,,22_04,4,3,4,3
132,1.1,1.3,1.5,1.8,,132,10,10,10,10,,,134,2.8,2.5,NA,NA,,134,10,8,NA,NA,,,,,,,,,,,,,,,,,,,,,,,165,3,3.1,3.2,3.166666667,,165,10,10,10,6,,,22_05,4,3,3,3
134,2.8,2.5,NA,NA,,134,10,8,NA,NA,,,135,2.2,2.7,2,NA,,135,10,10,1,NA,,,,,,,,,,,,,,,,,,,,,,,166,3,3,3.1,3.333333333,,166,10,10,10,3,,,22_06,4,3,4,4
135,2.2,2.7,2,NA,,135,10,10,1,NA,,,136,1.1,1.2,1.4,1,,136,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,362,2.2,2,NA,NA,,362,10,8,NA,NA,,,22_07,3,4,4,3
136,1.1,1.2,1.4,1,,136,10,10,10,2,,,140,2.1,1.8,1.6,2.333333333,,140,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,363,1.8,1.9,2.1,2.4,,363,10,10,10,10,,,22_08,4,4,.,.
140,2.1,1.8,1.6,2.3,,140,10,10,10,3,,,141,2,2.4,1.7,1.666666667,,141,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,364,2.3,1.5,1.5,NA,,364,10,10,4,NA,,,22_09,3,3,3,3
141,2,2.4,1.7,1.7,,141,10,10,10,6,,,147,2.5,2.2,2.3,3.9,,147,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,370,2.3,2.1,2.4,2.25,,370,10,10,10,4,,,22_10,3,3,.,.
142,3.5,4.1,5,NA,,142,10,10,3,NA,,,148,2.6,2.125,NA,NA,,148,10,8,NA,NA,,,,,,,,,,,,,,,,,,,,,,,371,2.6,3,2.4,3.555555556,,371,10,10,10,9,,,23_01,3,3,3,3
143,1.4,3.8,5,NA,,143,10,10,4,NA,,,149,2.2,3.1,3,NA,,149,10,10,3,NA,,,,,,,,,,,,,,,,,,,,,,,372,1.7,1.8,2.6,2.5,,372,10,10,10,6,,,23_02,3,3,3,3
147,2.5,2.2,2.3,3.9,,147,10,10,10,10,,,150,1.7,2.3,2.1,1.7,,150,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,373,2,2,1.5,NA,,373,10,10,6,NA,,,23_03,3,3,4,3
148,2.6,2.1,NA,NA,,148,10,8,NA,NA,,,153,2.5,2.571428571,NA,NA,,153,10,7,NA,NA,,,,,,,,,,,,,,,,,,,,,,,378,2.4,2.4,1.9,2,,378,10,10,10,3,,,23_04,3,2,2,3
149,2.2,3.1,3,NA,,149,10,10,3,NA,,,154,1.2,1.5,1.1,1.833333333,,154,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,380,2.8,2.2,2.2,2.7,,380,10,10,10,10,,,23_05,3,3,.,.
150,1.7,2.3,2.1,1.7,,150,10,10,10,10,,,155,1.9,1.3,1.142857143,NA,,155,10,10,7,NA,,,,,,,,,,,,,,,,,,,,,,,381,1.9,2.3,2.8,2.2,,381,10,10,10,10,,,25_01,3,2,2,2
153,2.5,2.6,NA,NA,,153,10,7,NA,NA,,,156,1.9,2.3,2.9,3,,156,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25_02,2,2,2,2
154,1.2,1.5,1.1,1.8,,154,10,10,10,6,,,157,1.5,1.6,1.6,1.666666667,,157,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25_03,2,2,2,2
