Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post
227_09,0,0,0,1,-0.5,0.47,-0.66,-1.01,0.12,0.8,-0.03,0.98,-0.15,-0.66,0.16
227_11,0,0,0,0,0.23,1.3,-0.83,-0.85,0.49,0.8,-0.73,1.06,-0.47,-0.83,0.2
228_01,0,1,0,0,-0.48,1.85,-0.6,-0.47,0.76,0.8,-0.98,1.15,-0.26,-0.98,0.28
228_02,0,0,0,0,-0.36,1.52,-0.49,-0.39,0.55,0.8,-0.69,1.2,-0.15,-1.02,0.18
228_03,0,0,0,0,-0.97,0.14,-0.14,-0.31,0.02,0.8,0.26,1.29,0.28,-1.07,0.06
228_04,1,0,0,0,0.6,1.45,-1.01,-0.77,0.49,0.8,-0.73,1.15,-0.47,-1.09,-0.07
228_05,0,0,0,0,-0.72,0.58,-0.43,-0.39,0.18,0.8,-0.03,1.29,0.06,-1.12,-0.03
228_06,0,0,0,0,-0.93,-0.55,-0.02,-0.16,-0.14,0.8,0.63,1.33,0.39,-1.18,-0.1
228_07,0,0,0,1,-0.94,-1.57,-0.95,-1.24,-1.36,0.73,0.99,1.69,-0.47,-1.26,-0.21
231_08,0,0,0,0,1.91,1.01,-2.85,-3.16,-2,-5.45,-1.42,-1.51,-5.32,0.34,0.97
239_01,0,0,0,0,0.52,1.81,-0.26,-1.01,1.5,0.73,-1.39,0.27,-0.26,0.16,0.61
239_02,0,0,1,0,0.38,1.92,-0.26,-1.08,1.5,0.73,-1.39,0.18,-0.26,0.24,0.63
239_03,0,0,0,0,-0.1,1.88,-0.14,-1.08,1.5,0.73,-1.39,0.18,-0.26,0.29,0.62
239_04,0,0,0,0,-0.43,1.74,-0.2,-1.08,1.45,0.73,-1.35,0.13,-0.26,0.3,0.53
239_05,0,0,.,.,-0.34,1.81,-0.26,-1.16,1.45,0.73,-1.31,0.18,-0.37,0.3,0.45
241_01,0,0,0,0,1.13,0.72,-1.01,-0.08,-0.51,0.38,-0.14,-0.49,-0.47,0.06,0.25
241_02,0,0,0,0,0.29,0.87,-0.83,-0.08,-0.35,0.38,-0.36,-0.53,-0.37,0.12,0.38
241_03,0,0,0,0,-0.87,-0.04,-0.43,0.07,-0.99,0.45,0.74,-0.4,0.06,0.17,0.52
241_04,0,0,.,.,-1.02,0.14,-0.49,0.07,-0.94,0.38,0.66,-0.44,0.06,0.21,0.55
241_05,0,0,0,0,-0.44,0.76,-0.72,-0.08,-0.73,0.38,0.23,-0.49,-0.26,0.17,0.45
241_06,1,1,1,1,0.72,1.41,-1.01,-0.24,-0.2,0.38,-0.65,-0.53,-0.58,0.08,0.32
241_07,0,0,.,.,0.61,-0.04,-0.43,0.15,-0.57,0.66,0.01,-0.49,-0.04,0.02,0.22
242_01,1,1,0,1,-0.46,-0.41,1.36,1.15,-1.2,-0.18,1.51,-0.35,1.03,-0.38,-0.69
242_02,1,1,0,0,-0.57,0.1,1.3,1.15,-0.99,-0.04,1.21,-0.31,0.93,-0.41,-0.56
242_03,0,0,0,0,0.51,1.34,-1.01,0.07,-0.35,0.1,-0.36,-0.49,-0.47,-0.37,-0.45
242_04,0,0,0,1,1.67,1.74,-1.35,-0.16,-0.3,-0.11,-0.51,-0.53,-0.8,-0.3,-0.35
242_05,0,1,0,0,1.83,1.01,-1.01,0,-0.51,0.17,-0.14,-0.49,-0.47,-0.23,-0.23
242_06,0,0,0,1,1.85,0.79,-0.95,0,-0.46,0.31,-0.25,-0.49,-0.47,-0.16,-0.11
242_07,1,0,0,1,1.67,1.34,-0.78,0.07,-0.25,0.31,-0.51,-0.53,-0.37,-0.1,0.02
242_08,0,0,0,0,0.87,1.81,-1.06,-0.08,-0.04,0.17,-0.8,-0.57,-0.69,-0.01,0.12
244_01,0,0,0,0,-0.01,0.29,0.09,-0.16,1.02,0.8,-0.87,0.75,0.06,-0.72,-0.31
244_02,0,0,0,0,1.03,1.08,-0.2,-0.16,1.34,0.73,-1.24,0.71,-0.04,-0.79,-0.19
244_03,0,0,1,0,0.61,0.32,-0.31,-0.08,0.92,0.8,-0.8,0.98,-0.04,-0.88,-0.08
244_04,0,0,0,0,-0.48,-1.13,-0.31,0,-0.14,0.8,0.55,1.2,0.28,-0.97,0.03
244_05,0,0,0,0,-0.72,0.39,-0.31,0.3,0.6,0.8,-0.58,1.24,0.06,-1.06,0.16
244_06,0,0,1,0,-0.79,-0.04,-0.43,0.53,0.07,0.8,0.08,1.38,0.28,-1.14,0.29
244_07,0,0,.,.,-1.01,-1.02,-0.54,0.84,-0.51,0.8,1.03,1.51,0.6,-1.2,0.37
245_01,1,1,1,1,-0.54,0.18,-0.43,-0.54,0.18,0.8,-0.1,1.51,-0.04,-1.06,0.66
245_02,1,1,1,1,-0.67,-0.26,-0.26,-0.39,0.12,0.8,0.12,1.6,0.17,-1.14,0.63
245_03,1,1,1,0,-0.91,-0.22,0.15,-0.16,0.02,0.8,0.41,1.69,0.39,-1.21,0.62
245_04,0,1,1,1,-0.81,1.08,-0.43,-0.24,0.12,0.8,0.08,1.69,0.06,-1.25,0.64
245_05,0,0,0,0,-0.82,-0.88,-0.72,-0.47,0.23,0.73,-0.14,1.82,-0.26,-1.27,0.68
245_06,0,0,0,0,0.01,-0.08,-2.74,-3.09,-2.21,-2.92,-1.09,-1.51,-4.35,-1.25,0.77
245_07,0,0,0,0,-0.62,-1.28,-2.85,-3.16,-3.01,-3.62,-0.32,-1.51,-4.68,-1.19,0.86
245_08,0,0,.,.,-0.91,-1.28,-2.74,-3.09,-3.01,-5.45,-1.17,-1.51,-5.76,-1.16,0.89
248_08,0,0,0,0,0.83,-1.28,-2.74,-2.85,-2.48,-5.94,-1.46,-1.51,-5.76,-0.17,1.63
255_01,0,0,0,0,-0.67,0.65,-0.2,-0.54,1.24,0.73,-1.06,0.27,-0.15,-1.02,-1.81
255_02,0,0,0,0,-0.67,1.05,-0.2,-0.62,1.29,0.73,-1.17,0.22,-0.15,-0.96,-1.7
255_03,0,0,0,0,-0.29,1.78,-0.37,-0.7,1.39,0.66,-1.31,0.18,-0.26,-0.89,-1.56
255_04,0,0,0,0,-0.87,1.52,0.32,-0.47,1.39,0.66,-1.2,0.27,0.06,-0.8,-1.41
255_05,0,0,0,1,0.18,0.29,-0.31,-0.54,1.13,0.73,-0.95,0.36,-0.15,-1.07,-1.82
255_06,0,0,0,1,0.84,1.59,-0.49,-0.62,1.34,0.66,-1.2,0.36,-0.26,-1.14,-1.7
257_01,0,0,0,0,1.06,-0.59,-0.66,-1.08,-0.67,0.8,1.25,0.58,0.17,-0.3,-0.35
257_02,0,1,0,1,0.08,0.32,-0.89,-1.16,-0.46,0.8,0.92,0.58,-0.04,-0.28,-0.23
257_03,0,0,0,1,-0.76,0.39,-0.83,-1.16,-0.2,0.8,0.48,0.58,-0.15,-0.29,-0.13
257_04,1,1,1,1,-0.71,0.61,-0.95,-1.24,-0.14,0.8,0.41,0.62,-0.26,-0.26,-0.01
257_05,0,0,0,1,0.21,1.41,-0.95,-1.24,0.71,0.73,-0.73,0.49,-0.47,-0.2,0.11
257_06,1,0,0,1,0.38,1.59,-0.78,-1.08,1.34,0.66,-1.24,0.44,-0.47,-0.14,0.23
257_07,1,1,0,1,-0.32,0.87,-0.49,-1.01,1.18,0.73,-0.98,0.53,-0.26,-0.1,0.36
257_08,1,1,0,0,-0.25,1.16,-0.37,-1.01,1.29,0.73,-1.17,0.49,-0.26,-0.04,0.45
258_01,0,0,0,0,-0.86,1.08,-0.14,-1.01,-0.46,0.73,1.07,0.58,0.28,-0.49,-0.76
258_02,0,0,0,0,-0.97,0.18,-0.31,-1.08,-0.73,0.8,1.32,0.58,0.28,-0.43,-0.65
258_03,0,0,0,0,-0.48,-1.02,-0.37,-1.08,-0.78,0.8,1.4,0.62,0.28,-0.39,-0.56
